number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
6780,CONW,Connecticut Warbler,"1, 0, 1C",Oporornis agilis,,,942
983,COPE,Cook's Petrel,3,Pterodroma cookii,,,154
3330,COHA,Cooper's Hawk,"M: 4, 4A, 5
F: 5, 6, 4A, 5A",Accipiter cooperii,,Lock-on bands recommended.,246
4640,COFL,Cordilleran Flycatcher,"0A, 0",,,AOU split from 4649-WEFL in 1989.,674
880,COSH,Cory's Shearwater,4,Calonectris diomedea,,,160
4300,COHU,Costa's Hummingbird,X,Calypte costae,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",560
4461,COKI,Couch's Kingbird,"1A, 1B",Tyrannus couchii,,,694
260,CRMU,Craveri's Murrelet,2,Synthliboramphus craveri,,,391
6381,CCWA,Crescent-chested Warbler,"0A, 0",Oreothlypis superciliosa,,,935
180,CRAU,Crested Auklet,4,Aethia cristatella,,,397
3620,CRCA,Crested Caracara,"7A, 7B",Caracara plancus,,Lock-on bands recommended.,620
4931,CRMY,Crested Myna,"3, 2",Acridotheres cristatellus,,,896
7120,CRTH,Crissal Thrasher,2,Toxostoma crissale,,,886
6031,CUGR,Cuban Grassquit,"0A, 0",Phonipara canora,,,1009
5043,CUOR,Cuban Oriole,"1A, 1D, 2",Icterus melanopsis,,,1128
4621,CUPE,Cuban Pewee,"0, 0A, 1",Contopus caribaeus,,,658
2440,CUSA,Curlew Sandpiper,1A,Calidris ferruginea,,,344
7070,CBTH,Curve-billed Thrasher,"3, 2, 2A",Toxostoma curvirostre,,,880
7720,DSFL,Dark-sided Flycatcher,0,Muscicapa sibirica,,,840
6040,DICK,Dickcissel,1B,Spiza americana,,,1107
1200,DCCO,Double-crested Cormorant,"8, 7B, 7D",Nannopterum auritum,,,203
8529,DOPR,Dove Prion,3,Pachyptila desolata,,,141
340,DOVE,Dovekie,"3, 2A",Alle alle,,,378
3940,DOWO,Downy Woodpecker,1B,Dryobates pubescens,,,604
2430,DUNL,Dunlin,"1A, 1B, 1D",Calidris alpina,,,349
1726,DCGO,Dusky Canada Goose,8,Branta canadensis ocidentalis,,,26
4690,DUFL,Dusky Flycatcher,"0A, 0",Empidonax oberholseri,,,671
5510,DSSP,Dusky Seaside Sparrow,1B,Ammodramus maritima nigrescens,,,1062
7614,DUTH,Dusky Thrush,2,Turdus eunomus,,,866
7474,DUWA,Dusky Warbler,0A,Phylloscopus fuscatus,,,824
4550,DCFL,Dusky-capped Flycatcher,"1B, 1, 1C",Myiarchus tuberculifer,,,682
3161,EADO,Eared Dove,3A,Zenaida auriculata,,,492
40,EAGR,Eared Grebe,"5, 5A",Podiceps nigricollis,,,99
3891,EAQU,Eared Quetzal,2,Euptilotis neoxenus,,,579
2163,EBRA,Eastern Black Rail,"1D, 1A, 2",Laterallus jamaicensis jamaicensis,Y,see: https://www.fws.gov/southeast/pdf/guidelines/banding-conditions-for-eastern-black-rail.pdf,268
7660,EABL,Eastern Bluebird,"1B, 1, 1A",Sialia sialis,,,847
4440,EAKI,Eastern Kingbird,1B,Tyrannus tyrannus,,,698
5010,EAME,Eastern Meadowlark,"M: 3
F: 2, 3",Sturnella magna,"New Brunswick
Nova Scotia
Ontario
Québec",,1113
4560,EAPH,Eastern Phoebe,"0, 1C, 1",Sayornis phoebe,,,678
3730,EASO,Eastern Screech-Owl,"5, 4A, 4",Megascops asio,,Lock-on bands recommended.,507
5870,EATO,Eastern Towhee,"M: 2, 1D, 1A
F: 1A, 1D, 2",Pipilo erythrophthalmus,,AOU split from 5876 in 1998.,1021
4170,EWPW,Eastern Whip-poor-will,"1D, 2, 1A",Antrostomus vociferus,"Manitoba
New Brunswick
Nova Scotia
Ontario
Québec
Saskatchewan",,535
5541,EWCS,Eastern White-crowned Sparrow,1B,Zonotrichia leucophrys leucophrys,,,1072
4610,EAWP,Eastern Wood-Pewee,"0A, 0, 1C, 1",Contopus virens,,,657
6960,EYWA,Eastern Yellow Wagtail,"1, 1C",Motacilla tschutschensis,,,902
5012,EWME,Eastern/Western Meadowlark,"M: 3
F: 2, 3",,,,1115
660,ELTE,Elegant Tern,3,Thalasseus elegans,,,462
3890,ELTR,Elegant Trogon,"3, 2, 1D",Trogon elegans,,,578
3810,ELOW,Elf Owl,"2, 2A",Micrathene whitneyi,,,515
6581,EWWA,Elfin-woods Warbler,0,Setophaga angelae,,,949
1760,EMGO,Emperor Goose,7B,Anser canagicus,,,9
8502,EMPE,Emperor Penguin,9,Aptenodytes forsteri,,,105
5160,EUBU,Eurasian Bullfinch,"1B, 1A",Pyrrhula pyrrhula,,,1153
3159,ECDO,Eurasian Collared-Dove,"4A, 4",Streptopelia decaocto,,Require 4 or 4A short.,473
2691,EUDO,Eurasian Dotterel,"1B, 1A",Charadrius morinellus,,,313
3591,EUKE,Eurasian Kestrel,"3B, 4",Falco tinnunculus,,,622
4730,EUSK,Eurasian Skylark,1B,Alauda arvensis,,,762
6883,ETSP,Eurasian Tree Sparrow,"1, 1B, 1C",Passer montanus,,,1199
1360,EUWI,Eurasian Wigeon,6,Mareca penelope,,,40
2270,EUWO,Eurasian Woodcock,3,Scolopax rusticola,,,366
2710,EUGP,European Golden-Plover,"2, 3",Pluvialis apricaria,,,300
5261,EUGO,European Goldfinch,0,Carduelis carduelis,,,1192
1380,EGWT,European Green-winged Teal,"4, 4A",Anas crecca crecca,,,61
4930,EUST,European Starling,"2, 3, 2A",Sturnus vulgaris,,,895
5140,EVGR,Evening Grosbeak,"1A, 2, 1D",Coccothraustes vespertinus,,,1196
7613,EYTH,Eyebrowed Thrush,2,Turdus obscurus,,,865
8512,FAPE,Fairy Penguin,9,Eudyptula minor,,,113
8531,FAPR,Fairy Prion,3,Pachyptila turtur,,,143
1371,FADU,Falcated Duck,4A,Mareca falcata,,,39
6881,FTWA,Fan-tailed Warbler,1,Basileuterus lachrymosus,,,986
3480,FEHA,Ferruginous Hawk,"7D, 8, 7B, 7A",Buteo regalis,"Alberta
Manitoba
Saskatchewan",Lock-on bands recommended.,263
3800,FEPO,Ferruginous Pygmy-Owl,"3B, 3A, 3",Glaucidium brasilianum,Y,,514
5630,FISP,Field Sparrow,"0, 0A, 1C, 1",Spizella pusilla,,,1037
7612,FIEL,Fieldfare,2,Turdus pilaris,,,867
8691,FISH,Fiji Shrikebill,"1A, 1B",Clytorhynchus vitiensis,,,732
4900,FICR,Fish Crow,"4A, 4",Corvus ossifragus,,,755
5742,FSSP,Five-striped Sparrow,1B,Amphispizopsis quinquestriata,,,1042
6071,FCTA,Flame-colored Tanager,"1A, 1B",Piranga bidentata,,,1094
3740,FLOW,Flammulated Owl,"3, 3B, 2",Psiloscops flammeolus,,,505
951,FFSH,Flesh-footed Shearwater,4,Ardenna carneipes,,,162
4123,FLIN,Flicker Intergrade,"3, 3B",Colaptes auratus,,To be used for Northern Flickers that appear to be intergrades between two subspecies.,612
5464,FGSP,Florida Grasshopper Sparrow,"1, 1C, 0",Ammodramus savannarum floridanus,Y,,1054
4790,FLSJ,Florida Scrub-Jay,"3, 2, 2A",Aphelocoma coerulescens,Y,,740
4420,FTFL,Fork-tailed Flycatcher,"1A, 1B, 1",Tyrannus savana,,,702
1050,FTSP,Fork-tailed Storm-Petrel,"1B, 1A",Hydrobates furcatus,,,180
690,FOTE,Forster's Tern,3,Sterna forsteri,,,457
5850,FOSP,Fox Sparrow,"1A, 1B",Passerella iliaca,,,1064
590,FRGU,Franklin's Gull,4,Leucophaeus pipixcan,,,412
1780,FUWD,Fulvous Whistling-Duck,"7A, 7",Dendrocygna bicolor,,,3
1350,GADW,Gadwall,6,Mareca strepera,,,38
8517,GALP,Galapagos Penguin,9,Spheniscus mendiculus,,,117
5550,GWCS,Gambel's White-crowned Sparrow,1B,Zonotrichia leucophrys gambelii,,,1075
1392,GARG,Garganey,"4A, 4",Spatula querquedula,,,59
8503,GEPE,Gentoo Penguin,9,Pygoscelis papua,,,106
4110,GIWO,Gila Woodpecker,"2, 3, 2A",Melanerpes uropygialis,,,592
4140,GIFL,Gilded Flicker,3,Colaptes chrysoides,,,615
420,GLGU,Glaucous Gull,7A,Larus hyperboreus,,"Size 6 for northern subspecies, barrovanius.",428
440,GWGU,Glaucous-winged Gull,"7A, 7, 7B",Larus glaucescens,,,427
1860,GLIB,Glossy Ibis,6,Plegadis falcinellus,,,229
3490,GOEA,Golden Eagle,"9, 9A, 9C",Aquila chrysaetos,,Rivet bands only.,265
8710,GOWE,Golden White-eye,"1B, 1",Cleptornis marchei,,,835
6660,GCWA,Golden-cheeked Warbler,0A,Setophaga chrysoparia,Y,,984
7480,GCKI,Golden-crowned Kinglet,0A,Regulus satrapa,,,820
5570,GCSP,Golden-crowned Sparrow,"1B, 1A",Zonotrichia atricapilla,,,1077
6920,GOLW,Golden-crowned Warbler,"0A, 0",Basileuterus culicivorus,,,988
4100,GFWO,Golden-fronted Woodpecker,2,Melanerpes aurifrons,,,593
6420,GWWA,Golden-winged Warbler,"0A, 0",Vermivora chrysoptera,"Manitoba
Ontario
Québec",,927
6416,GBWH,Golden-winged x Blue-winged Warbler Hybrid,"0A, 0",,,Vermivora chrysoptera X V. cyanoptera. Use for hybrids that do not fit Lawrences or Brewsters.,931
6640,GRWA,Grace's Warbler,"0A, 0",Setophaga graciae,,,979
5460,GRSP,Grasshopper Sparrow,"1, 1C, 0",Ammodramus savannarum,,Includes all subspecies except A. s. floridanus.,1053
5353,GRBU,Gray Bunting,1B,Emberiza variabilis,,,1087
7040,GRCA,Gray Catbird,1A,Dumetella carolinensis,,,877
4691,GRFL,Gray Flycatcher,"0A, 0",Empidonax wrightii,,,670
3460,GRHA,Gray Hawk,"6, 7A",Buteo plagiatus,,Lock-on bands recommended.,255
4450,GRAK,Gray Kingbird,"1A, 1D, 1B",Tyrannus dominicensis,,,699
6340,GRVI,Gray Vireo,"1, 1C",Vireo vicinior,,,718
6961,GRAW,Gray Wagtail,"1, 1C",Motacilla cinerea,,,903
8538,GBSP,Gray-backed Storm-Petrel,"1B, 1A",Garrodia nereis,,,177
761,GRAT,Gray-backed Tern,"2, 2A",Onychoprion lunatus,,,438
6112,GBMA,Gray-breasted Martin,1A,Progne chalybea,,,767
7570,GCTH,Gray-cheeked Thrush,1B,Catharus minimus,,,859
5240,GCRF,Gray-crowned Rosy-Finch,"1B, 1A, 1",Leucosticte tephrocotis,,,1149
6821,GCYE,Gray-crowned Yellowthroat,"1, 1C, 1B",Geothlypis poliocephala,,,943
8522,GHAL,Gray-headed Albatross,8,Thalassarche chrysostoma,,,122
7390,GHCH,Gray-headed Chickadee,"1C, 0, 1",Poecile cinctus,,,782
5690,GHJU,Gray-headed Junco,"1, 0, 1C",Junco hyemalis caniceps,,,1083
7730,GSFL,Gray-streaked Flycatcher,"0, 1C, 1",Muscicapa griseisticta,,,839
2591,GTTA,Gray-tailed Tattler,"3, 2, 2A",Tringa brevipes,,,320
470,GBBG,Great Black-backed Gull,"7B, 7, 7A",Larus marinus,,,429
1940,GBHE,Great Blue Heron,"7B, 8",Ardea herodias,,,216
1190,GRCO,Great Cormorant,8,Phalacrocorax carbo,,,204
4520,GCFL,Great Crested Flycatcher,"1A, 1B",Myiarchus crinitus,,,685
652,GCTE,Great Crested Tern,"3, 3B",Thalasseus bergii,,,459
1960,GREG,Great Egret,"7B, 7A, 7",Ardea alba,,,217
1281,GRFR,Great Frigatebird,"7B, 7, 7A",Fregata minor,,Require 7B or 7A short.,193
3700,GGOW,Great Gray Owl,8,Strix nebulosa,,Lock-on bands recommended.,523
3750,GHOW,Great Horned Owl,"8, 8A, 9, 7D",Bubo virginianus,,Lock-on bands recommended.,510
4490,GKIS,Great Kiskadee,"2, 1D",Pitangus sulphuratus,,,691
890,GRSH,Great Shearwater,"6, 5, 5R",Ardenna gravis,,,163
350,GRSK,Great Skua,"7A, 7B",Stercorarius skua,,,371
1920,GWHE,Great White Heron,8,Ardea herodias occidentalis,,,215
5120,GTGR,Great-tailed Grackle,"M: 4, 3A
F: 3, 3B",Quiscalus mexicanus,,,1122
9178,GABU,Greater Antillean Bullfinch,"1B, 1",Melopyrrha violacea,,,1014
9101,GAEL,Greater Antillean Elaenia,"0A, 0",Elaenia fallax,,,653
5131,GAGR,Greater Antillean Grackle,"3, 2",Quiscalus niger,,,1123
7423,GNLA,Greater Necklaced Laughingthrush,2,Garrulax pectoralis,,,829
4600,GRPE,Greater Pewee,"1B, 1",Contopus pertinax,,,655
3850,GRRO,Greater Roadrunner,5,Geococcyx californianus,,,500
1480,GRSC,Greater Scaup,"6, 5A, 5",Aythya marila,,,69
1699,GSGO,Greater Snow Goose,7B,Anser caerulescens atlantica,,,14
1710,GWFG,Greater White-fronted Goose,"7B, 8",Anser albifrons,,,6
2540,GRYE,Greater Yellowlegs,"3, 3B",Tringa melanoleuca,,,323
2010,GRHE,Green Heron,"5, 5A, 6",Butorides virescens,,,224
4830,GRJA,Green Jay,"2, 2A, 3",Cyanocorax yncas,,,736
3910,GKIN,Green Kingfisher,"1D, 1A, 2",Chloroceryle americana,,Size 2 needs to be filed to a shorter height; 1D may be best fit.,587
4362,GRMA,Green Mango,X,Anthracothorax viridis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",549
3816,GREP,Green Parakeet,"3B, 3, 3A",Psittacara holochlorus,,"No butt-end bands, special parrot bands only.",632
4366,GREM,Green-breasted Mango,X,Anthracothorax prevostii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",547
5900,GTTO,Green-tailed Towhee,"1A, 1B, 1D",Pipilo chlorurus,,,1019
4363,GTCA,Green-throated Carib,X,Eulampis holosericeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",551
1390,AGWT,Green-winged Teal,"4, 4A",Anas crecca,,,62
4711,GREL,Greenish Elaenia,"0A, 0",Myiopagis viridicata,,,649
3840,GBAN,Groove-billed Ani,"3A, 3B, 3",Crotophaga sulcirostris,,,502
252,GUMU,Guadalupe Murrelet,"2, 2A",Synthliboramphus hypoleucus,,Split from XAMU (0250) in August 2012.,390
8791,GMKI,Guam Micronesian Kingfisher,3,Todiramphus cinnamominus cinnamominus,Y,Endangered subspecies on Guam.,584
2162,GURA,Guam Rail,4,Gallirallus owstoni,Y,,271
8580,GUSW,Guam Swiftlet,"0A, X",Aerodramus bartschi,Y,,543
1201,GUCO,Guanay Cormorant,8,Leucocarbo bougainvillii,,,207
630,GBTE,Gull-billed Tern,"3B, 3A",Gelochelidon nilotica,,,445
3540,GYRF,Gyrfalcon,7B,Falco rusticolus,,Lock-on bands recommended.,626
3930,HAWO,Hairy Woodpecker,"1D, 2, 1A",Dryobates villosus,,,605
4680,HAFL,Hammond's Flycatcher,"0A, 0",Empidonax hammondii,,,669
3380,HRLH,Harlan's Hawk,"7B, 7A, 7D",Buteo jamaicensis harlani,,Lock-on bands recommended.,262
1550,HARD,Harlequin Duck,"5, 5A",Histrionicus histrionicus,,,75
3350,HRSH,Harris's Hawk,"7A, 7B, 6",Parabuteo unicinctus,,Lock-on bands recommended.,250
5530,HASP,Harris's Sparrow,1A,Zonotrichia querula,,,1070
7820,HAAM,Hawaii Amakihi,"1, 1B",Chlorodrepanis virens,,,1159
7910,HCRE,Hawaii Creeper,"1, 1C, 0",Loxops mana,Y,,1170
7700,HAEL,Hawaii Elepaio,"1, 0, 1C",Chasiempis sandwichensis,,,761
2201,HACO,Hawaiian Coot,"6, 5A, 5",Fulica alai,Y,,285
4892,HCRO,Hawaiian Crow,6,Corvus hawaiiensis,Y,,756
1321,HAWD,Hawaiian Duck,"6, 7A",Anas wyvilliana,Y,,51
2191,HAGA,Hawaiian Gallinule,"5, 6",Gallinula galeata sandvicensis,Y,,283
1751,HAGO,Hawaiian Goose,"8, 7B",Branta sandvicensis,Y,,29
3441,HWHA,Hawaiian Hawk,"6, 7A",Buteo solitarius,Y,Lock-on bands recommended.,260
985,HAPE,Hawaiian Petrel,"4, 3A",Pterodroma sandwichensis,Y,,151
2261,HAST,Hawaiian Stilt,"4, 4A",Himantopus mexicanus knudseni,Y,Band above the intertarsal joint only.,294
5142,HAWF,Hawfinch,"1A, 2, 1D",Coccothraustes coccothraustes,,,1197
570,HEEG,Heermann's Gull,4A,Larus heermanni,,,414
5470,HESP,Henslow's Sparrow,"0, 1C, 1",Centronyx henslowii,"Ontario
Québec",,1056
6090,HETA,Hepatic Tanager,1A,Piranga flava,,,1090
7590,HETH,Hermit Thrush,"1B, 1",Catharus guttatus,,,863
6690,HEWA,Hermit Warbler,"0A, 0",Setophaga occidentalis,,,983
510,HERG,Herring Gull,"6, 7A",Larus argentatus,,,422
4934,HIMY,Hill Myna,3,Gracula religiosa,,,900
5046,HIOR,Hispaniolan Oriole,"1A, 1D, 2",Icterus dominicensis,,,1129
3812,HPKT,Hispaniolan Parakeet,"3A, 3B",Psittacara chloropterus,,"No butt-end bands, special parrot bands only.",635
3827,HPRT,Hispaniolan Parrot,6,Amazona ventralis,,"No butt-end bands, special parrot bands only.",641
4624,HIPE,Hispaniolan Pewee,"0, 1C, 1",Contopus hispaniolensis,,,660
6103,HISP,Hispaniolan Spindalis,"1B, 1A",Spindalis dominicensis,,,1001
5270,HORE,Hoary Redpoll,"0, 0A",Acanthis hornemanni,,,1185
1310,HOME,Hooded Merganser,"5, 5A, 6",Lophodytes cucullatus,,,83
5050,HOOR,Hooded Oriole,"1A, 1B",Icterus cucullatus,,,1134
6840,HOWA,Hooded Warbler,"0, 0A, 1C, 1",Setophaga citrina,,,951
3271,HBKI,Hook-billed Kite,"6, 7A",Chondrohierax uncinatus,,Lock-on bands recommended.,237
30,HOGR,Horned Grebe,"6, 5, 5A",Podiceps auritus,Québec,Magdalen Islands population is endangered.,97
4740,HOLA,Horned Lark,1B,Eremophila alpestris,British Columbia,strigata subspecies endangered in BC.,763
140,HOPU,Horned Puffin,"5, 5A",Fratercula corniculata,,,400
5190,HOFI,House Finch,"1B, 1, 1C",Haemorhous mexicanus,,,1178
6882,HOSP,House Sparrow,"1B, 1",Passer domesticus,,,1198
7210,HOWR,House Wren,"0, 0A, 1C, 1",Troglodytes aedon,,,801
2510,HUGO,Hudsonian Godwit,3A,Limosa haemastica,,,333
8515,HUPE,Humboldt Penguin,9,Spheniscus humboldti,,,116
6320,HUVI,Hutton's Vireo,0,Vireo huttoni,,,724
7422,HWAM,Hwamei,"2, 3",Garrulax canorus,,,830
816,HYAL,Hybrid Albatross,"7B, 8, 7D",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,124
7356,HYCH,Hybrid Chickadee,"0, 1C, 1",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,783
446,HYGU,Hybrid Gull,"6, 7A, 7",,,,431
4408,HYHU,Hybrid Hummingbird,X,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations. Explain in remarks what the parent species were.",566
1871,HYIB,Hybrid Ibis,"6, 7A",,,,231
9986,HYNO,Hybrid Nonpasserine,"1A, 3A, 4, 4A, 5, 6, 7, 7A, 7B",,,Report suspected parentage as a Remark (e.g. Species1 x Species2).,618
9996,HYPA,Hybrid Passerine,"0, 0A, 1, 1A, 1B, 1D, 3A, 3B",,,Report suspected parentage as a Remark (e.g. Species1 x Species2).,619
4023,HYSA,Hybrid Sapsucker,"1A, 1B",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,600
8552,HYSK,Hybrid Skua,"7B, 7A",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,374
706,HYTE,Hybrid Tern,"2, 2A",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,463
5906,HYTO,Hybrid Towhee,"1A, 1B",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,1023
6366,HYWA,Hybrid Warbler,"0, 0A, 1",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,995
7676,HYBL,Hybrid Western/Mountain Bluebird,"1B, 1A",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,850
430,ICGU,Iceland Gull,6,Larus glaucoides,,,424
7980,IIWI,Iiwi,1B,Drepanis coccinea,,,1173
3210,INDO,Inca Dove,"2, 3",Columbina inca,,,476
5980,INBU,Indigo Bunting,"1, 1C, 0",Passerina cyanea,,,1104
5986,ILBH,Indigo X Lazuli Bunting Hybrid,"1, 1C",,,Passerina cyanea X P. amoena.,1103
742,ILTE,Interior Least Tern,"1A, 1B",Sternula antillarum athalassos,,,443
5912,ICTO,Inyo California Towhee,"1D, 2, 1A",Melozone crissalis eremophilus,Y,,1024
5410,IPSP,Ipswich Sparrow,"1B, 1",Passerculus sandwichensis princeps,,,1050
4811,ISSJ,Island Scrub-Jay,"3, 3B",Aphelocoma insularis,,,742
390,IVGU,Ivory Gull,4,Pagophila eburnea,"Newfoundland and Labrador
Northwest Territories
Nunavut",,404
3920,IBWO,Ivory-billed Woodpecker,4,Campephilus principalis,Y,,617
9107,JACR,Jamaican Crow,6,Corvus jamaicensis,,,753
9102,JAEL,Jamaican Elaenia,"0A, 0",Myiopagis cotta,,,648
9153,JAEU,Jamaican Euphonia,"0, 0A",Euphonia jamaica,,,1147
4361,JAMA,Jamaican Mango,X,Anthracothorax mango,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",550
9169,JAOR,Jamaican Oriole,"2, 1D",Icterus leucopteryx,,,1139
4623,JAPE,Jamaican Pewee,"0, 1C, 1",Contopus pallidus,,,659
6105,JAMS,Jamaican Spindalis,"1B, 1A",Spindalis nigricephala,,,1003
9081,JATO,Jamaican Tody,0,Todus todus,,,580
9132,JAVI,Jamaican Vireo,0,Vireo modestus,,,713
7461,JABW,Japanese Bush-Warbler,"M: 1, 1C
F: 0, 1C, 0A",Horornis diphone,,,822
8130,JAVS,Java Sparrow,"1B, 1A",Padda oryzivora,,,1210
4933,JAMY,Javan Myna,"1A, 2, 1D",Acridotheres javanicus,,,897
987,JFPE,Juan Fernandez Petrel,3,Pterodroma externa,,,148
4935,JUMY,Jungle Myna,"3B, 3",Acridotheres fuscus,,,898
7331,JUTI,Juniper Titmouse,"1, 1C",Baeolophus ridgwayi,,AOU split from 7339-PLTI in 1998.,788
7930,KAKA,Kakawahie,"0, 1C, 1",Paroreomyza flammea,Y,,1168
7543,KAMA,Kamao,1A,Myadestes myadestinus,Y,,853
7830,KAAM,Kauai Amakihi,"1, 1C, 1B",Chlorodrepanis stejnegeri,,,1161
7702,KAEL,Kauai Elepaio,"1, 0",Chasiempis sclateri,,,759
6221,KAOO,Kauai Oo,2,Moho braccatus,Y,,913
8546,KEGU,Kelp Gull,"7A, 7, 7B",Larus dominicanus,,,430
6770,KEWA,Kentucky Warbler,"0, 1C, 1",Geothlypis formosa,,,946
8536,KEPE,Kerguelen Petrel,4,Aphrodroma brevirostris,,,144
8549,KETE,Kerguelen Tern,3,Sterna virgata,,,456
3220,KWQD,Key West Quail-Dove,"3A, 4",Geotrygon chrysia,,,486
2730,KILL,Killdeer,"2, 2A, 1D",Charadrius vociferus,,,311
1620,KIEI,King Eider,"7A, 6, 7, 7B",Somateria spectabilis,,,73
8501,KIPE,King Penguin,9,Aptenodytes patagonicus,,,104
2080,KIRA,King Rail,5,Rallus elegans,Ontario,,276
6700,KIWA,Kirtland's Warbler,"1C, 1",Setophaga kirtlandii,,,953
240,KIMU,Kittlitz's Murrelet,3,Brachyramphus brevirostris,,,387
4551,LSFL,La Sagra's Flycatcher,"1, 1B, 1C",Myiarchus sagrae,,,687
3960,LBWO,Ladder-backed Woodpecker,"1A, 1B",Dryobates scalaris,,,602
7475,LANW,Lanceolated Warbler,0A,Locustella lanceolata,,,838
5360,LALO,Lapland Longspur,"1, 1B",Calcarius lapponicus,,,917
1723,LCGO,Large Canada Goose,8,Branta canadensis maxima,,,23
5440,LBSP,Large-billed Sparrow,"1, 1C",Passerculus sandwichensis rostratus,,,1052
6050,LARB,Lark Bunting,1A,Calamospiza melanocorys,"Alberta
Manitoba
Saskatchewan",,1048
5520,LASP,Lark Sparrow,1B,Chondestes grammacus,,,1041
580,LAGU,Laughing Gull,"5, 4A, 4",Leucophaeus atricilla,,,411
8060,LAVW,Lavender Waxbill,0,Estrilda caerulescens,,,1203
5310,LAGO,Lawrence's Goldfinch,"0, 0A, 1C, 1",Spinus lawrencei,,,1190
6413,LAWA,Lawrence's Warbler,"0A, 0",,,,930
821,LAAL,Laysan Albatross,7B,Phoebastria immutabilis,,,128
1322,LADU,Laysan Duck,"5, 5A, 6",Anas laysanensis,Y,,52
7740,LAFI,Laysan Finch,"1A, 1B",Telespiza cantans,Y,,1154
5990,LAZB,Lazuli Bunting,"1, 1C, 0",Passerina amoena,,,1102
1060,LHSP,Leach's Storm-Petrel,"1B, 1A",Hydrobates leucorhous,,,181
200,LEAU,Least Auklet,"2, 3, 2A",Aethia pusilla,,,395
6334,LBVI,Least Bell's Vireo,"0, 0A",Vireo bellii pusillus,Y,,716
1910,LEBI,Least Bittern,4,Ixobrychus exilis,"Manitoba
New Brunswick
Nova Scotia
Ontario
Québec",,214
4670,LEFL,Least Flycatcher,"0A, 0",Empidonax minimus,,,668
50,LEGR,Least Grebe,4,Tachybaptus dominicus,,,95
2420,LESA,Least Sandpiper,"1, 1B, 1C",Calidris minutilla,,,354
1030,LTSP,Least Storm-Petrel,1B,Hydrobates microsoma,,,187
740,LETE,Least Tern,"1A, 1B",Sternula antillarum,,,442
5480,LCSP,LeConte's Sparrow,"1, 1C, 0",Ammospiza leconteii,,,1057
7110,LCTH,LeConte's Thrasher,2,Toxostoma lecontei,,,885
6022,LESB,Lesser Antillean Bullfinch,"1, 1B",Loxigilla noctis,,,1015
4554,LESF,Lesser Antillean Flycatcher,1B,Myiarchus oberi,,,690
4622,LAPE,Lesser Antillean Pewee,"0, 0A, 1C",Contopus latirostris,,,661
500,LBBG,Lesser Black-backed Gull,6,Larus fuscus,,,425
1282,LEFR,Lesser Frigatebird,"7A, 7",Fregata ariel,,Require 7A short.,194
2729,LEGP,Lesser Golden-Plover,"3, 2A, 2",,,"Includes Pluvialis dominica and P. fulva, prior to split in 1993.",303
5300,LEGO,Lesser Goldfinch,"0A, 0",Spinus psaltria,,,1189
4210,LENI,Lesser Nighthawk,"1D, 1A, 2",Chordeiles acutipennis,,,528
2790,LRSP,Lesser Sand-Plover,3,Charadrius mongolus,,,304
1490,LESC,Lesser Scaup,"6, 5A, 5",Aythya affinis,,,70
8544,LESH,Lesser Sheathbill,7A,Chionis minor,,,315
1690,LSGO,Lesser Snow Goose,7B,Anser caerulescens caerulescens,,,10
1713,LWFG,Lesser White-fronted Goose,7A,Anser erythropus,,,7
2550,LEYE,Lesser Yellowlegs,"2, 2A",Tringa flavipes,,,325
4080,LEWO,Lewis's Woodpecker,"3, 2",Melanerpes lewis,British Columbia,,588
2112,LFRR,Light-footed Ridgway's Rail,5,Rallus obsoletus levipes,Y,,273
8524,LMSA,Light-mantled Albatross,8,Phoebetria palpebrata,,,121
2070,LIMP,Limpkin,"7A, 6",Aramus guarauna,,,288
5830,LISP,Lincoln's Sparrow,"1, 0, 1C",Melospiza lincolnii,,,1066
2000,LBHE,Little Blue Heron,6,Egretta caerulea,,,220
5352,LIBU,Little Bunting,"1C, 1",Emberiza pusilla,,,1085
601,LIGU,Little Gull,3,Hydrocoloeus minutus,,,408
921,LISH,Little Shearwater,4,Puffinus assimilis,,,175
2411,LIST,Little Stint,"1, 1B, 1C",Calidris minuta,,,353
741,LITE,Little Tern,1A,Sternula albifrons,,,441
4452,LOKI,Loggerhead Kingbird,"1A, 1B",Tyrannus caudifasciatus,,,700
6220,LOSH,Loggerhead Shrike,"1D, 1A, 2",Lanius ludovicianus,"Alberta
Manitoba
Ontario
Québec
Saskatchewan",,708
2640,LBCU,Long-billed Curlew,"5, 4A, 5A",Numenius americanus,,Use size 6 if banding on tibiotarsus,331
