number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
2410,BASA,Baird's Sandpiper,"1B, 1A",Calidris bairdii,,,352
5450,BAIS,Baird's Sparrow,"1, 1C",Centronyx bairdii,,,1055
7532,BACG,Baja Gnatcatcher,0A,Polioptila californica,,,814
3520,BAEA,Bald Eagle,"9, 8A, 9A",Haliaeetus leucocephalus,,Rivet bands only.,242
5070,BAOR,Baltimore Oriole,"1A, 1B, 1D",Icterus galbula,,,1143
5078,BBOH,Baltimore X Bullock's Oriole Hybrid,1A,,,,1138
6350,BANA,Bananaquit,"0, 0A, 1C, 1",Coereba flaveola,,,996
1062,BANP,Band-rumped Storm-Petrel,"1B, 1A, 1",Hydrobates castro,Y,,183
3120,BTPI,Band-tailed Pigeon,"5, 5A",Patagioenas fasciata,,,470
6160,BANS,Bank Swallow,"0, 1C, 1, 0A",Riparia riparia,"Alberta
British Columbia
Manitoba
New Brunswick
Newfoundland and Labrador
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan
Yukon Territory
Northwest Territories",,772
2500,BARG,Bar-tailed Godwit,"M: 4
F: 4A",Limosa lapponica,,,334
6642,BARW,Barbuda Warbler,"0A, 0",Setophaga subita,,,977
3650,BNOW,Barn Owl,"6, 7A",Tyto alba,"British Columbia
Ontario
Québec",Lock-on bands recommended.,503
6130,BARS,Barn Swallow,"1, 0",Hirundo rustica,"Alberta
British Columbia
Manitoba
New Brunswick
Newfoundland and Labrador
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan
Yukon Territory
Northwest Territories",,775
1750,BRNG,Barnacle Goose,7B,Branta leucopsis,,,20
3680,BDOW,Barred Owl,"7B, 7D",Strix varia,,Lock-on bands recommended.,522
1520,BAGO,Barrow's Goldeneye,"7A, 6",Bucephala islandica,,,82
6600,BBWA,Bay-breasted Warbler,"0, 1C, 0A, 1",Setophaga castanea,,,959
542,BEGU,Belcher's Gull,5,Larus belcheri,,,413
5430,BSSP,Belding's Savannah Sparrow,"1, 1C",Passerculus sandwichensis beldingi,,,1051
5744,BESP,Bell's Sparrow,"1, 1C",Artemisiospiza belli,,AOU split from 5740 Sage Sparrow in 2014.,1047
6330,BEVI,Bell's Vireo,0,Vireo bellii,,,715
3900,BEKI,Belted Kingfisher,"3A, 3B, 3",Megaceryle alcyon,,,586
7080,BETH,Bendire's Thrasher,2,Toxostoma bendirei,,,883
4381,BEHU,Berylline Hummingbird,X,Saucerottia beryllina,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",572
1801,BESW,Bewick's Swan,9,Cygnus columbianus bewickii,,,34
7190,BEWR,Bewick's Wren,"1, 0, 1C",Thryomanes bewickii,,,809
7571,BITH,Bicknell's Thrush,1B,Catharus bicknelli,"New Brunswick
Nova Scotia
Québec",,860
6223,BIOO,Bishop's Oo,3,Moho bishopi,Y,,914
1740,BLBR,Black Brant,"7A, 7, 7B",Branta bernicla nigricans,,,19
8740,BLDR,Black Drongo,2,Dicrurus macrocercus,,,730
270,BLGU,Black Guillemot,"4, 4A",Cepphus grylle,,,382
791,BLNO,Black Noddy,"2, 3, 2A",Anous minutus,,,434
2870,BLOY,Black Oystercatcher,"5, 5A",Haematopus bachmani,,,297
4580,BLPH,Black Phoebe,"1, 1C",Sayornis nigricans,,,677
2160,BLRA,Black Rail,"1D, 1A, 2",Laterallus jamaicensis,,,267
5250,BLRF,Black Rosy-Finch,"1B, 1A, 1",Leucosticte atrata,,,1150
1630,BLSC,Black Scoter,7A,Melanitta americana,,,78
800,BLSK,Black Skimmer,"4, 4A, 3A, 4V",Rynchops niger,,,464
1070,BLSP,Black Storm-Petrel,"1A, 1B",Hydrobates melania,,,185
4220,BLSW,Black Swift,"1A, 1B",Cypseloides niger,"Alberta
British Columbia",,538
770,BLTE,Black Tern,"1D, 1A, 2",Chlidonias niger,,,447
2840,BLTU,Black Turnstone,"2A, 2",Arenaria melanocephala,,,337
3260,BLVU,Black Vulture,8V,Coragyps atratus,,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.,233
1731,BABI,Black X Atlantic Brant Intergrade,"7A, 7, 7B",,,,18
6360,BAWW,Black-and-white Warbler,"0, 0A, 1C, 1",Mniotilta varia,,,932
6951,BWAG,Black-backed Wagtail,"1, 1C",Motacilla alba lugens,,,905
4000,BBWO,Black-backed Woodpecker,2,Picoides arcticus,,,610
2700,BBPL,Black-bellied Plover,"3, 3B, 3A",Pluvialis squatarola,,,299
1770,BBWD,Black-bellied Whistling-Duck,"7A, 7",Dendrocygna autumnalis,,,1
3880,BBCU,Black-billed Cuckoo,"2, 3",Coccyzus erythropthalmus,,,497
4750,BBMA,Black-billed Magpie,"4, 3A, 3B",Pica hudsonia,,,747
822,BBAL,Black-browed Albatross,8,Thalassarche melanophris,,,120
7350,BCCH,Black-capped Chickadee,"0, 0A, 1C, 1",Poecile atricapillus,,,777
7531,BCGN,Black-capped Gnatcatcher,0A,Polioptila nigriceps,,,816
980,BCPE,Black-capped Petrel,3A,Pterodroma hasitata,,,147
6300,BCVI,Black-capped Vireo,"0, 1C, 0A, 1",Vireo atricapilla,,,717
4290,BCHU,Black-chinned Hummingbird,X,Archilochus alexandri,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",558
5650,BCSP,Black-chinned Sparrow,"0, 1C, 1",Spizella atrogularis,,,1039
5042,BCOR,Black-cowled Oriole,"1A, 1D, 2",Icterus prosthemelas,,,1132
7320,BCTI,Black-crested Titmouse,1B,Baeolophus atricristatus,,,791
2020,BCNH,Black-crowned Night-Heron,"7A, 7",Nycticorax nycticorax,,,225
6030,BFGR,Black-faced Grassquit,"0, 0A, 1C, 1",Melanospiza bicolor,,,1011
