species_id,alpha,common,weight_female_min,weight_female_max,weight_male_min,weight_male_min,wing_female_min,wing_female_max,wing_male_min,wing_male_max,tail_female_min,tail_female_max,tail_male_min,tail_male_max
690,FOTE,Forster's Tern,0,0,0,0,245,277,246,278,60,73,62,76
700,COTE,Common Tern,0,0,0,0,252,283,252,281,65,76,64,75
706,HYTE,Hybrid Tern,0,0,0,0,0,0,0,0,0,0,0,0
710,ARTE,Arctic Tern,0,0,0,0,255,285,257,288,63,76,65,77
720,ROST,Roseate Tern,0,0,0,0,216,241,216,240,53,65,57,69
725,HCRT,Common Tern X Roseate Tern Hybrid,0,0,0,0,0,0,0,0,0,0,0,0
730,ALTE,Aleutian Tern,0,0,0,0,254,278,259,280,0,0,0,0
731,BNTE,Black-naped Tern,0,0,0,0,0,0,0,0,0,0,0,0
740,LETE,Least Tern,0,0,0,0,156,173,157,177,37,44,38,45
741,LITE,Little Tern,0,0,0,0,0,0,0,0,0,0,0,0
742,ILTE,Interior Least Tern,0,0,0,0,156,173,157,177,37,44,38,45
743,CLTE,California Least Tern,0,0,0,0,156,173,157,177,37,44,38,45
750,SOTE,Sooty Tern,0,0,0,0,274,297,275,298,68,82,69,86
760,BRTE,Bridled Tern,0,0,0,0,245,266,247,267,63,74,64,75
761,GRAT,Gray-backed Tern,0,0,0,0,0,0,0,0,0,0,0,0
770,BLTE,Black Tern,0,78,0,78,190,218,196,224,51,58,51,59
780,WWTE,White-winged Tern,0,0,0,0,0,0,0,0,0,0,0,0
781,WHIT,Whiskered Tern,0,0,0,0,0,0,0,0,0,0,0,0
790,BRNO,Brown Noddy,0,0,0,0,256,279,261,289,128,145,134,157
791,BLNO,Black Noddy,0,0,0,0,0,0,0,0,0,0,0,0
792,BGNO,Blue-gray Noddy,0,0,0,0,0,0,0,0,0,0,0,0
793,WHTE,White Tern,0,0,0,0,0,0,0,0,0,0,0,0
800,BLSK,Black Skimmer,213,296,280,382,323,372,374,416,76,87,86,95
810,BFAL,Black-footed Albatross,0,0,0,0,481,529,487,536,132,149,136,153
811,WAAL,Wandering Albatross,0,0,0,0,0,0,0,0,0,0,0,0
816,HYAL,Hybrid Albatross,0,0,0,0,0,0,0,0,0,0,0,0
820,STAL,Short-tailed Albatross,0,0,0,0,518,564,538,593,144,158,153,170
821,LAAL,Laysan Albatross,0,0,0,0,460,505,467,513,135,157,139,161
822,BBAL,Black-browed Albatross,0,0,0,0,0,0,0,0,0,0,0,0
823,WCAL,White-capped Albatross,0,0,0,0,0,0,0,0,0,0,0,0
