number,alpha,common,scientific,taxonomic_order
4021,RNSA,Red-naped Sapsucker,Sphyrapicus nuchalis,598
4023,HYSA,Hybrid Sapsucker,,600
4024,UNSA,Unidentified Sapsucker,,601
4030,RBSA,Red-breasted Sapsucker,Sphyrapicus ruber,599
4040,WISA,Williamson's Sapsucker *,Sphyrapicus thyroideus,596
4050,PIWO,Pileated Woodpecker,Dryocopus pileatus,616
4060,RHWO,Red-headed Woodpecker *,Melanerpes erythrocephalus,590
4070,ACWO,Acorn Woodpecker,Melanerpes formicivorus,591
4071,PRWO,Puerto Rican Woodpecker,Melanerpes portoricensis,589
4080,LEWO,Lewis's Woodpecker *,Melanerpes lewis,588
4090,RBWO,Red-bellied Woodpecker,Melanerpes carolinus,594
4092,WIWO,West Indian Woodpecker,Melanerpes superciliaris,595
4100,GFWO,Golden-fronted Woodpecker,Melanerpes aurifrons,593
4110,GIWO,Gila Woodpecker,Melanerpes uropygialis,592
4120,YSFL,Yellow-shafted Flicker,Colaptes auratus auratus,611
4123,FLIN,Flicker Intergrade,Colaptes auratus,612
4124,UNFL,Unspecified Northern Flicker,Colaptes auratus,614
4130,RSFL,Red-shafted Flicker,Colaptes auratus cafer,613
4140,GIFL,Gilded Flicker,Colaptes chrysoides,615
4160,CWWI,Chuck-will's-widow,Antrostomus carolinensis,533
4161,BCNI,Buff-collared Nightjar,Antrostomus ridgwayi,534
4170,EWPW,Eastern Whip-poor-will *,Antrostomus vociferus,535
4172,MWPW,Mexican Whip-poor-will,Antrostomus arizonae,536
4180,COPO,Common Poorwill,Phalaenoptilus nuttallii,532
4190,COPA,Common Pauraque,Nyctidromus albicollis,531
4200,CONI,Common Nighthawk *,Chordeiles minor,529
4201,ANNI,Antillean Nighthawk,Chordeiles gundlachii,530
4210,LENI,Lesser Nighthawk,Chordeiles acutipennis,528
4220,BLSW,Black Swift *,Cypseloides niger,538
4230,CHSW,Chimney Swift *,Chaetura pelagica,539
4231,STSW,Short-tailed Swift,Chaetura brachyura,541
4240,VASW,Vaux's Swift,Chaetura vauxi,540
4250,WTSW,White-throated Swift,Aeronautes saxatalis,545
4260,RIHU,Rivoli's Hummingbird,Eugenes fulgens,552
4261,PCST,Plain-capped Starthroat,Heliomaster constantii,553
4270,BTMG,Blue-throated Mountain-gem,Lampornis clemenciae,554
4271,MEVI,Mexican Violetear,Colibri thalassinus,546
4280,RTHU,Ruby-throated Hummingbird,Archilochus colubris,557
4290,BCHU,Black-chinned Hummingbird,Archilochus alexandri,558
4300,COHU,Costa's Hummingbird,Calypte costae,560
4310,ANHU,Anna's Hummingbird,Calypte anna,559
4320,BTHU,Broad-tailed Hummingbird,Selasphorus platycercus,562
4330,RUHU,Rufous Hummingbird,Selasphorus rufus,563
4331,UNSE,Unidentified Selasphorus Hummingbird,,565
4340,ALHU,Allen's Hummingbird,Selasphorus sasin,564
4350,BUHU,Bumblebee Hummingbird,Selasphorus heloisa,561
4360,CAHU,Calliope Hummingbird,Selasphorus calliope,568
4361,JAMA,Jamaican Mango,Anthracothorax mango,550
4362,GRMA,Green Mango,Anthracothorax viridis,549
4363,GTCA,Green-throated Carib,Eulampis holosericeus,551
4364,ACHU,Antillean Crested Hummingbird,Orthorhyncus cristatus,571
4366,GREM,Green-breasted Mango,Anthracothorax prevostii,547
4370,LUHU,Lucifer Hummingbird,Calothorax lucifer,556
4371,BAWO,Bahama Woodstar,Nesophlox evelynae,555
4380,RUFH,Rufous-tailed Hummingbird,Amazilia tzacatl,573
4381,BEHU,Berylline Hummingbird,Saucerottia beryllina,572
4390,BUFH,Buff-bellied Hummingbird,Amazilia yucatanensis,574
4391,VCHU,Violet-crowned Hummingbird,Ramosomyia violiceps,575
4401,WEHU,White-eared Hummingbird,Basilinna leucotis,577
4402,PREM,Puerto Rican Emerald,Chlorostilbon maugaeus,569
4408,HYHU,Hybrid Hummingbird,,566
4409,UNHU,Unidentified Hummingbird,,567
4410,BBLH,Broad-billed Hummingbird,Cynanthus latirostris,570
4411,RTBE,Rose-throated Becard,Pachyramphus aglaiae,703
4420,FTFL,Fork-tailed Flycatcher,Tyrannus savana,702
4430,STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,701
4440,EAKI,Eastern Kingbird,Tyrannus tyrannus,698
4450,GRAK,Gray Kingbird,Tyrannus dominicensis,699
4451,TBKI,Thick-billed Kingbird,Tyrannus crassirostris,696
4452,LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus,700
4460,TRKI,Tropical Kingbird,Tyrannus melancholicus,693
4461,COKI,Couch's Kingbird,Tyrannus couchii,694
4470,WEKI,Western Kingbird,Tyrannus verticalis,697
4480,CAKI,Cassin's Kingbird,Tyrannus vociferans,695
4490,GKIS,Great Kiskadee,Pitangus sulphuratus,691
4510,SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,692
4520,GCFL,Great Crested Flycatcher,Myiarchus crinitus,685
4530,BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus,686
4531,NUFL,Nutting's Flycatcher,Myiarchus nuttingi,684
4540,ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,683
4550,DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer,682
4551,LSFL,La Sagra's Flycatcher,Myiarchus sagrae,687
4552,PRFL,Puerto Rican Flycatcher,Myiarchus antillarum,689
4553,STOF,Stolid Flycatcher,Myiarchus stolidus,688
4554,LESF,Lesser Antillean Flycatcher,Myiarchus oberi,690
4560,EAPH,Eastern Phoebe,Sayornis phoebe,678
4570,SAPH,Say's Phoebe,Sayornis saya,679
4580,BLPH,Black Phoebe,Sayornis nigricans,677
4590,OSFL,Olive-sided Flycatcher *,Contopus cooperi,654
4600,GRPE,Greater Pewee,Contopus pertinax,655
4610,EAWP,Eastern Wood-Pewee,Contopus virens,657
4620,WEWP,Western Wood-Pewee,Contopus sordidulus,656
4621,CUPE,Cuban Pewee,Contopus caribaeus,658
4622,LAPE,Lesser Antillean Pewee,Contopus latirostris,661
4623,JAPE,Jamaican Pewee,Contopus pallidus,659
4624,HIPE,Hispaniolan Pewee,Contopus hispaniolensis,660
4630,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris,662
4640,COFL,Cordilleran Flycatcher,,674
4641,PSFL,Pacific-slope Flycatcher,,672
4649,WEFL,Western Flycatcher,Empidonax difficilis,673
4650,ACFL,Acadian Flycatcher *,Empidonax virescens,663
4660,WIFL,Willow Flycatcher,Empidonax traillii,666
4661,ALFL,Alder Flycatcher,Empidonax alnorum,664
4669,TRFL,Traill's Flycatcher,,665
4670,LEFL,Least Flycatcher,Empidonax minimus,668
4679,UNEM,Unidentified Empidonax,,676
4680,HAFL,Hammond's Flycatcher,Empidonax hammondii,669
4690,DUFL,Dusky Flycatcher,Empidonax oberholseri,671
4691,GRFL,Gray Flycatcher,Empidonax wrightii,670
4700,BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,675
4710,VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,680
4711,GREL,Greenish Elaenia,Myiopagis viridicata,649
4720,NBTY,Northern Beardless-Tyrannulet,Camptostoma imberbe,647
4721,CAEL,Caribbean Elaenia,Elaenia martinica,650
4730,EUSK,Eurasian Skylark,Alauda arvensis,762
4740,HOLA,Horned Lark *,Eremophila alpestris,763
4750,BBMA,Black-billed Magpie,Pica hudsonia,747
4760,YBMA,Yellow-billed Magpie,Pica nuttalli,748
4770,BLJA,Blue Jay,Cyanocitta cristata,739
4780,STJA,Steller's Jay,Cyanocitta stelleri,738
4810,UWSJ,Unspecified Western Scrub-Jay,,743
4811,ISSJ,Island Scrub-Jay,Aphelocoma insularis,742
4812,WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,744
4813,CASJ,California Scrub-Jay,Aphelocoma californica,741
4820,MEJA,Mexican Jay,Aphelocoma wollweberi,745
4830,GRJA,Green Jay,Cyanocorax yncas,736
4832,BRJA,Brown Jay,Psilorhinus morio,735
4840,CAJA,Canada Jay,Perisoreus canadensis,734
4860,CORA,Common Raven,Corvus corax,758
4870,CHRA,Chihuahuan Raven,Corvus cryptoleucus,757
4880,AMCR,American Crow,Corvus brachyrhynchos,750
4890,NOCR,Northwestern Crow,Corvus brachyrhynchos caurinus,751
4891,TACR,Tamaulipas Crow,Corvus imparatus,754
4900,FICR,Fish Crow,Corvus ossifragus,755
4910,CLNU,Clark's Nutcracker,Nucifraga columbiana,746
4920,PIJA,Pinyon Jay,Gymnorhinus cyanocephalus,737
4930,EUST,European Starling,Sturnus vulgaris,895
4931,CRMY,Crested Myna,Acridotheres cristatellus,896
4932,COMY,Common Myna,Acridotheres tristis,899
4933,JAMY,Javan Myna,Acridotheres javanicus,897
4934,HIMY,Hill Myna,Gracula religiosa,900
4935,JUMY,Jungle Myna,Acridotheres fuscus,898
4940,BOBO,Bobolink *,Dolichonyx oryzivorus,1108
4950,BHCO,Brown-headed Cowbird,Molothrus ater,1126
4960,BROC,Bronzed Cowbird,Molothrus aeneus,1125
4961,SHCO,Shiny Cowbird,Molothrus bonariensis,1124
4970,YHBL,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,1117
4980,RWBL,Red-winged Blackbird,Agelaius phoeniceus,1109
5000,TRBL,Tricolored Blackbird,Agelaius tricolor,1110
5001,TSBL,Tawny-shouldered Blackbird,Agelaius humeralis,1111
5010,EAME,Eastern Meadowlark *,Sturnella magna,1113
5011,WEME,Western Meadowlark,Sturnella neglecta,1114
5012,EWME,Eastern/Western Meadowlark,,1115
5013,CHME,Chihuahuan Meadowlark,Sturnella lilianae,1116
5030,AUOR,Audubon's Oriole,Icterus graduacauda,1142
5031,ALOR,Altamira Oriole,Icterus gularis,1141
5032,SPOO,Spot-breasted Oriole,Icterus pectoralis,1140
5040,SCOR,Scott's Oriole,Icterus parisorum,1144
5041,BVOR,Black-vented Oriole,Icterus wagleri,1131
5042,BCOR,Black-cowled Oriole,Icterus prosthemelas,1132
5043,CUOR,Cuban Oriole,Icterus melanopsis,1128
5044,BAHO,Bahama Oriole,Icterus northropi,1127
5045,PROR,Puerto Rican Oriole,Icterus portoricensis,1130
5046,HIOR,Hispaniolan Oriole,Icterus dominicensis,1129
5050,HOOR,Hooded Oriole,Icterus cucullatus,1134
5051,STRO,Streak-backed Oriole,Icterus pustulatus,1136
5060,OROR,Orchard Oriole,Icterus spurius,1133
5070,BAOR,Baltimore Oriole,Icterus galbula,1143
5078,BBOH,Baltimore X Bullock's Oriole Hybrid,,1138
5080,BUOR,Bullock's Oriole,Icterus bullockii,1137
5090,RUBL,Rusty Blackbird,Euphagus carolinus,1118
5100,BRBL,Brewer's Blackbird,Euphagus cyanocephalus,1119
5110,COGR,Common Grackle,Quiscalus quiscula,1120
5120,GTGR,Great-tailed Grackle,Quiscalus mexicanus,1122
5130,BTGR,Boat-tailed Grackle,Quiscalus major,1121
5131,GAGR,Greater Antillean Grackle,Quiscalus niger,1123
5140,EVGR,Evening Grosbeak,Coccothraustes vespertinus,1196
5141,BRAM,Brambling,Fringilla montifringilla,1146
5142,HAWF,Hawfinch,Coccothraustes coccothraustes,1197
5143,COCH,Common Chaffinch,Fringilla coelebs,1145
5150,PIGR,Pine Grosbeak,Pinicola enucleator,1152
5160,EUBU,Eurasian Bullfinch,Pyrrhula pyrrhula,1153
5161,CORO,Common Rosefinch,Carpodacus erythrinus,1177
5170,PUFI,Purple Finch,Haemorhous purpureus,1179
5180,CAFI,Cassin's Finch,Haemorhous cassinii,1180
5190,HOFI,House Finch,Haemorhous mexicanus,1178
5210,RECR,Red Crossbill *,Loxia curvirostra,1181
5211,CACR,Cassia Crossbill,Loxia sinesciuris,1182
5220,WWCR,White-winged Crossbill,Loxia leucoptera,1183
5240,GCRF,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,1149
5250,BLRF,Black Rosy-Finch,Leucosticte atrata,1150
5260,BCRF,Brown-capped Rosy-Finch,Leucosticte australis,1151
5261,EUGO,European Goldfinch,Carduelis carduelis,1192
5262,ORGR,Oriental Greenfinch,Chloris sinica,1193
5270,HORE,Hoary Redpoll,Acanthis hornemanni,1185
5276,UNRE,Unidentified Common/Hoary Redpoll,,1186
5280,CORE,Common Redpoll,Acanthis flammea,1184
5290,AMGO,American Goldfinch,Spinus tristis,1191
5300,LEGO,Lesser Goldfinch,Spinus psaltria,1189
5310,LAGO,Lawrence's Goldfinch,Spinus lawrencei,1190
5321,RESI,Red Siskin,Spinus cucullatus,1188
5330,PISI,Pine Siskin,Spinus pinus,1187
5331,COCA,Common Canary,Serinus canaria,1195
5332,YFCA,Yellow-fronted Canary,Crithagra mozambica,1194
5340,SNBU,Snow Bunting,Plectrophenax nivalis,921
5350,MKBU,McKay's Bunting,Plectrophenax hyperboreus,922
5351,RUBU,Rustic Bunting,Emberiza rustica,1086
5352,LIBU,Little Bunting,Emberiza pusilla,1085
5353,GRBU,Gray Bunting,Emberiza variabilis,1087
5354,PALB,Pallas's Bunting,Emberiza pallasi,1088
5355,REBU,Reed Bunting,Emberiza schoeniclus,1089
5360,LALO,Lapland Longspur,Calcarius lapponicus,917
5370,SMLO,Smith's Longspur,Calcarius pictus,919
5380,CCLO,Chestnut-collared Longspur *,Calcarius ornatus,918
5390,TBLO,Thick-billed Longspur *,Rhynchophanes mccownii,920
5400,VESP,Vesper Sparrow *,Pooecetes gramineus,1040
5410,IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps,1050
5420,SAVS,Savannah Sparrow,Passerculus sandwichensis,1049
5430,BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,1051
5440,LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus,1052
5450,BAIS,Baird's Sparrow,Centronyx bairdii,1055
5460,GRSP,Grasshopper Sparrow,Ammodramus savannarum,1053
5470,HESP,Henslow's Sparrow *,Centronyx henslowii,1056
5480,LCSP,LeConte's Sparrow,Ammospiza leconteii,1057
5490,SALS,Saltmarsh Sparrow,Ammospiza caudacuta,1059
5491,NESP,Nelson's Sparrow,Ammospiza nelsoni,1058
5499,STSP,Unidentified Sharp-tailed Sparrow,,1060
5500,SESP,Seaside Sparrow,Ammospiza maritima,1061
5510,DSSP,Dusky Seaside Sparrow,Ammodramus maritima nigrescens,1062
5520,LASP,Lark Sparrow,Chondestes grammacus,1041
5530,HASP,Harris's Sparrow,Zonotrichia querula,1070
5540,UWCS,Unspecified White-crowned Sparrow,Zonotrichia leucophrys,1071
5541,EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,1072
5546,MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,1073
5547,PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,1074
5550,GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,1075
5560,NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,1076
5570,GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,1077
5580,WTSP,White-throated Sparrow,Zonotrichia albicollis,1069
5581,RUFS,Rufous-collared Sparrow,Zonotrichia capensis,1068
5586,ZSHY,Zonotrichia Sparrow Hybrid,,1079
5590,ATSP,American Tree Sparrow,Spizelloides arborea,1033
5600,CHSP,Chipping Sparrow,Spizella passerina,1034
5610,CCSP,Clay-colored Sparrow,Spizella pallida,1035
5620,BRSP,Brewer's Sparrow,Spizella breweri,1036
5630,FISP,Field Sparrow,Spizella pusilla,1037
5640,WOSP,Worthen's Sparrow,Spizella wortheni,1038
5650,BCSP,Black-chinned Sparrow,Spizella atrogularis,1039
5660,WWJU,White-winged Junco,Junco hyemalis aikeni,1078
5670,SCJU,Slate-colored Junco,Junco hyemalis hyemalis,1080
5671,ORJU,Oregon Junco,Junco hyemalis oreganus,1081
5677,UDEJ,Unspecified Dark-eyed Junco,Junco hyemalis,1082
5690,GHJU,Gray-headed Junco,Junco hyemalis caniceps,1083
5700,YEJU,Yellow-eyed Junco,Junco phaeonotus,1084
5730,BTSP,Black-throated Sparrow,Amphispiza bilineata,1043
5740,USSP,Unidentified Sage Sparrow,,1045
5742,FSSP,Five-striped Sparrow,Amphispizopsis quinquestriata,1042
5743,SBSP,Sagebrush Sparrow,Artemisiospiza nevadensis,1044
5744,BESP,Bell's Sparrow,Artemisiospiza belli,1047
5750,BACS,Bachman's Sparrow,Peucaea aestivalis,1032
5760,BOSP,Botteri's Sparrow,Peucaea botterii,1030
5780,CASP,Cassin's Sparrow,Peucaea cassinii,1031
5790,RWSP,Rufous-winged Sparrow,Peucaea carpalis,1029
5800,RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,1025
5810,SOSP,Song Sparrow,Melospiza melodia,1065
5830,LISP,Lincoln's Sparrow,Melospiza lincolnii,1066
5840,SWSP,Swamp Sparrow,Melospiza georgiana,1067
5850,FOSP,Fox Sparrow,Passerella iliaca,1064
5860,OLSP,Olive Sparrow,Arremonops rufivirgatus,1018
5861,SAFI,Saffron Finch,Sicalis flaveola,1017
5870,EATO,Eastern Towhee,Pipilo erythrophthalmus,1021
5876,URST,Unidentified Rufous-sided Towhee,,1022
5880,SPTO,Spotted Towhee,Pipilo maculatus,1020
5900,GTTO,Green-tailed Towhee,Pipilo chlorurus,1019
5906,HYTO,Hybrid Towhee,,1023
5910,CANT,Canyon Towhee,Melozone fusca,1026
5911,CALT,California Towhee,Melozone crissalis,1027
5920,ABTO,Abert's Towhee,Melozone aberti,1028
5922,RCCA,Red-crested Cardinal,Paroaria coronata,997
5923,YBCA,Yellow-billed Cardinal,Paroaria capitata,998
5930,NOCA,Northern Cardinal,Cardinalis cardinalis,1095
5940,PYRR,Pyrrhuloxia,Cardinalis sinuatus,1096
5950,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1098
5960,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,1099
5961,YEGR,Yellow Grosbeak,Pheucticus chrysopeplus,1097
5970,BLGR,Blue Grosbeak,Passerina caerulea,1101
5971,BLBU,Blue Bunting,Cyanocompsa parellina,1100
5980,INBU,Indigo Bunting,Passerina cyanea,1104
5986,ILBH,Indigo X Lazuli Bunting Hybrid,,1103
5990,LAZB,Lazuli Bunting,Passerina amoena,1102
6000,VABU,Varied Bunting,Passerina versicolor,1105
6010,PABU,Painted Bunting,Passerina ciris,1106
6020,UWSE,Unidentified White-collared Seedeater,,1005
6021,PUEB,Puerto Rican Bullfinch,Melopyrrha portoricensis,1013
6022,LESB,Lesser Antillean Bullfinch,Loxigilla noctis,1015
6023,MOSE,Morelet's Seedeater,Sporophila morelleti,1006
6024,CRSE,Cinnamon-rumped Seedeater,Sporophila torqueola,1007
6030,BFGR,Black-faced Grassquit,Melanospiza bicolor,1011
6031,CUGR,Cuban Grassquit,Phonipara canora,1009
6032,YFGR,Yellow-faced Grassquit,Tiaris olivaceus,1010
6040,DICK,Dickcissel,Spiza americana,1107
6050,LARB,Lark Bunting *,Calamospiza melanocorys,1048
6061,ANEU,Antillean Euphonia,Chlorophonia musica,1148
6070,WETA,Western Tanager,Piranga ludoviciana,1093
6071,FCTA,Flame-colored Tanager,Piranga bidentata,1094
6080,SCTA,Scarlet Tanager,Piranga olivacea,1092
6090,HETA,Hepatic Tanager,Piranga flava,1090
6100,SUTA,Summer Tanager,Piranga rubra,1091
6101,WESP,Western Spindalis,Spindalis zena,1000
6102,PRTA,Puerto Rican Tanager,Nesospingus speculiferus,999
6103,HISP,Hispaniolan Spindalis,Spindalis dominicensis,1001
6104,PRSP,Puerto Rican Spindalis,Spindalis portoricensis,1002
6105,JAMS,Jamaican Spindalis,Spindalis nigricephala,1003
6110,PUMA,Purple Martin,Progne subis,765
6112,GBMA,Gray-breasted Martin,Progne chalybea,767
6113,CAMA,Caribbean Martin,Progne dominicensis,766
6120,CLSW,Cliff Swallow,Petrochelidon pyrrhonota,773
6121,CASW,Cave Swallow,Petrochelidon fulva,774
6130,BARS,Barn Swallow *,Hirundo rustica,775
6140,TRES,Tree Swallow,Tachycineta bicolor,768
6150,VGSW,Violet-green Swallow,Tachycineta thalassina,769
6151,BAHS,Bahama Swallow,Tachycineta cyaneoviridis,770
6160,BANS,Bank Swallow *,Riparia riparia,772
6170,NRWS,Northern Rough-winged Swallow,Stelgidopteryx serripennis,771
6180,BOWA,Bohemian Waxwing,Bombycilla garrulus,911
6190,CEDW,Cedar Waxwing,Bombycilla cedrorum,912
6200,PHAI,Phainopepla,Phainopepla nitens,915
6210,NSHR,Northern Shrike,Lanius borealis,710
6211,BRSH,Brown Shrike,Lanius cristatus,707
6220,LOSH,Loggerhead Shrike *,Lanius ludovicianus,708
6226,WAWE,Warbling White-eye,Zosterops japonicus,828
6230,BWVI,Black-whiskered Vireo,Vireo altiloquus,729
6240,REVI,Red-eyed Vireo,Vireo olivaceus,727
6250,YGVI,Yellow-green Vireo,Vireo flavoviridis,728
6260,PHVI,Philadelphia Vireo,Vireo philadelphicus,726
6270,WAVI,Warbling Vireo,Vireo gilvus,725
6280,YTVI,Yellow-throated Vireo,Vireo flavifrons,719
6290,BHVI,Blue-headed Vireo,Vireo solitarius,722
6291,PLVI,Plumbeous Vireo,Vireo plumbeus,720
6292,CAVI,Cassin's Vireo,Vireo cassinii,721
6299,SOVI,Solitary Vireo,,723
6300,BCVI,Black-capped Vireo,Vireo atricapilla,717
6310,WEVI,White-eyed Vireo,Vireo griseus,711
6320,HUVI,Hutton's Vireo,Vireo huttoni,724
6330,BEVI,Bell's Vireo,Vireo bellii,715
6331,PRVI,Puerto Rican Vireo,Vireo latimeri,714
6340,GRVI,Gray Vireo,Vireo vicinior,718
6350,BANA,Bananaquit,Coereba flaveola,996
6360,BAWW,Black-and-white Warbler,Mniotilta varia,932
6366,HYWA,Hybrid Warbler,,995
6370,PROW,Prothonotary Warbler *,Protonotaria citrea,933
6380,SWWA,Swainson's Warbler,Limnothlypis swainsonii,934
6381,CCWA,Crescent-chested Warbler,Oreothlypis superciliosa,935
6390,WEWA,Worm-eating Warbler,Helmitheros vermivorum,924
6410,BWWA,Blue-winged Warbler,Vermivora cyanoptera,928
6412,BRWA,Brewster's Warbler,,929
6413,LAWA,Lawrence's Warbler,,930
6416,GBWH,Golden-winged x Blue-winged Warbler Hybrid,,931
6420,GWWA,Golden-winged Warbler *,Vermivora chrysoptera,927
6430,LUWA,Lucy's Warbler,Leiothlypis luciae,939
6440,VIWA,Virginia's Warbler,Leiothlypis virginiae,941
6450,NAWA,Nashville Warbler,Leiothlypis ruficapilla,940
6460,OCWA,Orange-crowned Warbler,Leiothlypis celata,937
6470,TEWA,Tennessee Warbler,Leiothlypis peregrina,936
6471,COLW,Colima Warbler,Leiothlypis crissalis,938
6480,NOPA,Northern Parula,Setophaga americana,956
6490,TRPA,Tropical Parula,Setophaga pitiayumi,957
6500,CMWA,Cape May Warbler,Setophaga tigrina,954
6510,OLWA,Olive Warbler,Peucedramus taeniatus,916
6520,YEWA,Yellow Warbler,Setophaga petechia,961
6540,BTBW,Black-throated Blue Warbler,Setophaga caerulescens,964
6550,MYWA,Myrtle Warbler,Setophaga coronata coronata,970
6556,UYRW,Unspecified Yellow-rumped Warbler,Setophaga coronata,971
6560,AUWA,Audubon's Warbler,Setophaga coronata auduboni,972
6570,MAWA,Magnolia Warbler,Setophaga magnolia,958
6580,CERW,Cerulean Warbler *,Setophaga cerulea,955
6581,EWWA,Elfin-woods Warbler,Setophaga angelae,949
6590,CSWA,Chestnut-sided Warbler,Setophaga pensylvanica,962
6600,BBWA,Bay-breasted Warbler,Setophaga castanea,959
6610,BLPW,Blackpoll Warbler,Setophaga striata,963
6620,BLBW,Blackburnian Warbler,Setophaga fusca,960
6630,YTWA,Yellow-throated Warbler,Setophaga dominica,973
6634,SUWA,Sutton's Warbler,,974
6640,GRWA,Grace's Warbler,Setophaga graciae,979
6641,ADWA,Adelaide's Warbler,Setophaga adelaidae,976
6642,BARW,Barbuda Warbler,Setophaga subita,977
6643,SLWA,St. Lucia Warbler,Setophaga delicata,978
6650,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,980
6670,BTNW,Black-throated Green Warbler,Setophaga virens,985
6680,TOWA,Townsend's Warbler,Setophaga townsendi,981
6686,THWH,Townsend's X Hermit Warbler Hybrid,,982
6690,HEWA,Hermit Warbler,Setophaga occidentalis,983
6700,KIWA,Kirtland's Warbler,Setophaga kirtlandii,953
6710,PIWA,Pine Warbler,Setophaga pinus,969
6720,WPWA,Western Palm Warbler,Setophaga palmarum palmarum,965
6721,UPWA,Unspecified Palm Warbler,Setophaga palmarum,967
6729,YPWA,Yellow Palm Warbler,Setophaga palmarum hypochrysea,966
6730,PRAW,Prairie Warbler,Setophaga discolor,975
6740,OVEN,Ovenbird,Seiurus aurocapilla,923
6750,NOWA,Northern Waterthrush,Parkesia noveboracensis,926
6760,LOWA,Louisiana Waterthrush *,Parkesia motacilla,925
6770,KEWA,Kentucky Warbler,Geothlypis formosa,946
6780,CONW,Connecticut Warbler,Oporornis agilis,942
6790,MOWA,Mourning Warbler,Geothlypis philadelphia,945
6800,MGWA,MacGillivray's Warbler,Geothlypis tolmiei,944
6810,COYE,Common Yellowthroat,Geothlypis trichas,948
6821,GCYE,Gray-crowned Yellowthroat,Geothlypis poliocephala,943
6830,YBCH,Yellow-breasted Chat *,Icteria virens,994
6840,HOWA,Hooded Warbler,Setophaga citrina,951
6850,WIWA,Wilson's Warbler,Cardellina pusilla,990
6860,CAWA,Canada Warbler *,Cardellina canadensis,989
6870,AMRE,American Redstart,Setophaga ruticilla,952
6880,PARE,Painted Redstart,Myioborus pictus,992
6881,FTWA,Fan-tailed Warbler,Basileuterus lachrymosus,986
6882,HOSP,House Sparrow,Passer domesticus,1198
6883,ETSP,Eurasian Tree Sparrow,Passer montanus,1199
6890,SLAR,Slate-throated Redstart,Myioborus miniatus,993
6900,RFWA,Red-faced Warbler,Cardellina rubrifrons,991
6920,GOLW,Golden-crowned Warbler,Basileuterus culicivorus,988
6921,RCWA,Rufous-capped Warbler,Basileuterus rufifrons,987
6940,WHWA,White Wagtail,Motacilla alba,904
6951,BWAG,Black-backed Wagtail,Motacilla alba lugens,905
6960,EYWA,Eastern Yellow Wagtail,Motacilla tschutschensis,902
6961,GRAW,Gray Wagtail,Motacilla cinerea,903
6970,AMPI,American Pipit,Anthus rubescens,909
6981,PEPI,Pechora Pipit,Anthus gustavi,907
6983,OBPI,Olive-backed Pipit,Anthus hodgsoni,906
6990,RTPI,Red-throated Pipit,Anthus cervinus,908
7000,SPPI,Sprague's Pipit *,Anthus spragueii,910
7010,AMDI,American Dipper,Cinclus mexicanus,817
7020,SATH,Sage Thrasher *,Oreoscoptes montanus,887
7030,NOMO,Northern Mockingbird,Mimus polyglottos,890
7031,BAMO,Bahama Mockingbird,Mimus gundlachii,888
7032,TRMO,Tropical Mockingbird,Mimus gilvus,889
7040,GRCA,Gray Catbird,Dumetella carolinensis,877
7050,BRTH,Brown Thrasher,Toxostoma rufum,881
7060,LBTH,Long-billed Thrasher,Toxostoma longirostre,882
7070,CBTH,Curve-billed Thrasher,Toxostoma curvirostre,880
7080,BETH,Bendire's Thrasher,Toxostoma bendirei,883
7100,CATH,California Thrasher,Toxostoma redivivum,884
7110,LCTH,LeConte's Thrasher,Toxostoma lecontei,885
7111,PETH,Pearly-eyed Thrasher,Margarops fuscatus,878
7120,CRTH,Crissal Thrasher,Toxostoma crissale,886
7121,BLMO,Blue Mockingbird,Melanotis caerulescens,891
7130,CACW,Cactus Wren,Campylorhynchus brunneicapillus,810
7140,SIWR,Sinaloa Wren,Thryophilus sinaloa,811
7150,ROWR,Rock Wren,Salpinctes obsoletus,799
7170,CANW,Canyon Wren,Catherpes mexicanus,800
7180,CARW,Carolina Wren,Thryothorus ludovicianus,808
